VALOR,VIGENCIADESDE,VIGENCIAHASTA
2895.85,06/06/2017,06/06/2017
2893.76,07/06/2017,07/06/2017
2907.10,08/06/2017,08/06/2017
2919.82,09/06/2017,09/06/2017
2919.58,10/06/2017,12/06/2017
2929.20,13/06/2017,13/06/2017
2933.13,14/06/2017,14/06/2017
2924.75,15/06/2017,15/06/2017
2953.83,16/06/2017,16/06/2017
2961.68,17/06/2017,20/06/2017
3029.53,21/06/2017,21/06/2017
3053.90,22/06/2017,22/06/2017
3035.83,23/06/2017,23/06/2017
3010.68,24/06/2017,27/06/2017
3025.28,28/06/2017,28/06/2017
3023.64,29/06/2017,29/06/2017
3038.26,30/06/2017,30/06/2017
3050.43,01/07/2017,05/07/2017
3068.93,06/07/2017,06/07/2017
3084.19,07/07/2017,07/07/2017
3092.65,08/07/2017,10/07/2017
3067.33,11/07/2017,11/07/2017
3067.73,12/07/2017,12/07/2017
3052.30,13/07/2017,13/07/2017
3043.60,14/07/2017,14/07/2017
3019.56,15/07/2017,17/07/2017
3030.60,18/07/2017,18/07/2017
3013.26,19/07/2017,19/07/2017
3010.00,20/07/2017,21/07/2017
3010.77,22/07/2017,24/07/2017
3023.67,25/07/2017,25/07/2017
3026.55,26/07/2017,26/07/2017
3026.22,27/07/2017,27/07/2017
3002.94,28/07/2017,28/07/2017
2995.23,29/07/2017,31/07/2017
2997.59,01/08/2017,01/08/2017
2973.03,02/08/2017,02/08/2017
2964.66,03/08/2017,03/08/2017
2954.54,04/08/2017,04/08/2017
2974.39,05/08/2017,08/08/2017
2994.62,09/08/2017,09/08/2017
3011.14,10/08/2017,10/08/2017
2994.85,11/08/2017,11/08/2017
2984.99,12/08/2017,14/08/2017
2966.54,15/08/2017,15/08/2017
2974.70,16/08/2017,16/08/2017
2967.32,17/08/2017,17/08/2017
2980.03,18/08/2017,18/08/2017
2994.39,19/08/2017,22/08/2017
2986.83,23/08/2017,23/08/2017
2986.88,24/08/2017,24/08/2017
2972.98,25/08/2017,25/08/2017
2933.96,26/08/2017,28/08/2017
2934.23,29/08/2017,29/08/2017
2940.35,30/08/2017,30/08/2017
2937.09,31/08/2017,31/08/2017
2948.09,01/09/2017,01/09/2017
2936.07,02/09/2017,05/09/2017
2923.49,06/09/2017,06/09/2017
2919.50,07/09/2017,07/09/2017
2907.96,08/09/2017,08/09/2017
2909.15,09/09/2017,11/09/2017
2916.10,12/09/2017,12/09/2017
2923.03,13/09/2017,13/09/2017
2909.52,14/09/2017,14/09/2017
2905.98,15/09/2017,15/09/2017
2897.83,16/09/2017,18/09/2017
2906.06,19/09/2017,19/09/2017
2904.60,20/09/2017,20/09/2017
2893.18,21/09/2017,21/09/2017
2913.96,22/09/2017,22/09/2017
2900.73,23/09/2017,25/09/2017
2924.57,26/09/2017,26/09/2017
2930.70,27/09/2017,27/09/2017
2940.66,28/09/2017,28/09/2017
2941.07,29/09/2017,29/09/2017
2936.67,30/09/2017,02/10/2017
2949.33,03/10/2017,03/10/2017
2953.81,04/10/2017,04/10/2017
2945.59,05/10/2017,05/10/2017
2926.82,06/10/2017,06/10/2017
2942.19,07/10/2017,10/10/2017
2947.06,11/10/2017,11/10/2017
2953.77,12/10/2017,12/10/2017
2949.69,13/10/2017,13/10/2017
2932.05,14/10/2017,17/10/2017
2944.27,18/10/2017,18/10/2017
2935.66,19/10/2017,19/10/2017
2921.92,20/10/2017,20/10/2017
2936.66,21/10/2017,23/10/2017
2947.69,24/10/2017,24/10/2017
2971.36,25/10/2017,25/10/2017
2989.39,26/10/2017,26/10/2017
3008.80,27/10/2017,27/10/2017
3009.85,28/10/2017,30/10/2017
3011.44,31/10/2017,31/10/2017
3039.19,01/11/2017,01/11/2017
3038.56,02/11/2017,02/11/2017
3054.38,03/11/2017,03/11/2017
3055.57,04/11/2017,07/11/2017
3026.94,08/11/2017,08/11/2017
3017.78,09/11/2017,09/11/2017
3015.52,10/11/2017,10/11/2017
3004.88,11/11/2017,14/11/2017
3016.70,15/11/2017,15/11/2017
3023.88,16/11/2017,16/11/2017
3015.79,17/11/2017,17/11/2017
3003.19,18/11/2017,20/11/2017
3011.32,21/11/2017,21/11/2017
3001.07,22/11/2017,22/11/2017
2982.73,23/11/2017,24/11/2017
2976.39,25/11/2017,27/11/2017
2986.84,28/11/2017,28/11/2017
3003.94,29/11/2017,29/11/2017
3006.09,30/11/2017,30/11/2017
3006.04,01/12/2017,01/12/2017
3005.76,02/12/2017,04/12/2017
2993.49,05/12/2017,05/12/2017
2996.53,06/12/2017,06/12/2017
3007.07,07/12/2017,07/12/2017
3016.18,08/12/2017,11/12/2017
3013.99,12/12/2017,12/12/2017
3029.75,13/12/2017,13/12/2017
3015.41,14/12/2017,14/12/2017
2999.07,15/12/2017,15/12/2017
2996.61,16/12/2017,18/12/2017
2975.59,19/12/2017,19/12/2017
2972.05,20/12/2017,20/12/2017
2965.77,21/12/2017,21/12/2017
2963.58,22/12/2017,22/12/2017
2962.14,23/12/2017,26/12/2017
2962.26,27/12/2017,27/12/2017
2971.63,28/12/2017,28/12/2017
780.49,13/05/1993,13/05/1993
780.80,14/05/1993,14/05/1993
780.79,15/05/1993,17/05/1993
781.42,18/05/1993,18/05/1993
781.80,19/05/1993,19/05/1993
781.84,20/05/1993,20/05/1993
781.94,21/05/1993,21/05/1993
782.00,22/05/1993,25/05/1993
783.15,26/05/1993,26/05/1993
782.85,27/05/1993,27/05/1993
773.78,29/04/1993,29/04/1993
780.78,28/05/1993,28/05/1993
779.56,29/05/1993,31/05/1993
779.00,01/06/1993,01/06/1993
779.01,02/06/1993,02/06/1993
777.82,03/06/1993,03/06/1993
778.12,04/06/1993,04/06/1993
780.60,05/06/1993,07/06/1993
782.29,08/06/1993,08/06/1993
784.62,09/06/1993,09/06/1993
784.95,10/06/1993,10/06/1993
831.28,17/06/1994,17/06/1994
1007.57,30/10/1996,30/10/1996
1005.83,31/10/1996,31/10/1996
1000.14,01/11/1996,01/11/1996
999.49,02/11/1996,05/11/1996
1006.36,06/11/1996,06/11/1996
1003.75,07/11/1996,07/11/1996
999.59,08/11/1996,08/11/1996
1001.24,09/11/1996,12/11/1996
1000.22,13/11/1996,13/11/1996
997.38,14/11/1996,14/11/1996
1001.68,15/11/1996,15/11/1996
999.68,16/11/1996,18/11/1996
995.96,19/11/1996,19/11/1996
994.02,20/11/1996,20/11/1996
995.20,21/11/1996,21/11/1996
1012.43,29/10/1996,29/10/1996
994.37,22/11/1996,22/11/1996
995.34,23/11/1996,25/11/1996
995.05,26/11/1996,26/11/1996
995.05,27/11/1996,27/11/1996
995.93,28/11/1996,28/11/1996
994.94,29/11/1996,29/11/1996
1002.28,30/11/1996,02/12/1996
1000.09,03/12/1996,03/12/1996
995.73,04/12/1996,04/12/1996
828.94,21/06/1994,21/06/1994
826.90,22/06/1994,22/06/1994
824.76,23/06/1994,23/06/1994
822.87,24/06/1994,24/06/1994
821.00,25/06/1994,27/06/1994
820.13,28/06/1994,28/06/1994
818.73,29/06/1994,29/06/1994
819.64,30/06/1994,30/06/1994
818.05,01/07/1994,01/07/1994
817.92,02/07/1994,05/07/1994
818.45,06/07/1994,06/07/1994
820.42,07/07/1994,07/07/1994
820.24,08/07/1994,08/07/1994
822.34,09/07/1994,11/07/1994
822.14,12/07/1994,12/07/1994
826.61,18/06/1994,20/06/1994
823.12,13/07/1994,13/07/1994
822.79,14/07/1994,14/07/1994
822.28,15/07/1994,15/07/1994
821.04,16/07/1994,18/07/1994
818.44,19/07/1994,19/07/1994
817.49,20/07/1994,21/07/1994
817.18,22/07/1994,22/07/1994
816.68,23/07/1994,25/07/1994
816.34,26/07/1994,26/07/1994
997.48,06/12/1996,06/12/1996
1001.82,07/12/1996,09/12/1996
997.99,10/12/1996,10/12/1996
1084.28,20/06/1997,20/06/1997
1086.36,21/06/1997,23/06/1997
1088.16,24/06/1997,24/06/1997
1086.47,25/06/1997,25/06/1997
1087.72,26/06/1997,26/06/1997
1090.58,27/06/1997,27/06/1997
1089.01,28/06/1997,01/07/1997
1093.25,02/07/1997,02/07/1997
1098.72,03/07/1997,03/07/1997
1102.84,04/07/1997,04/07/1997
1101.57,05/07/1997,07/07/1997
1102.45,08/07/1997,08/07/1997
1101.18,09/07/1997,09/07/1997
997.40,05/12/1996,05/12/1996
1098.64,10/07/1997,10/07/1997
1097.88,11/07/1997,11/07/1997
1098.46,12/07/1997,14/07/1997
1099.56,15/07/1997,15/07/1997
1099.25,16/07/1997,16/07/1997
1100.83,17/07/1997,17/07/1997
1102.48,18/07/1997,18/07/1997
1105.33,19/07/1997,21/07/1997
1109.46,22/07/1997,22/07/1997
1110.32,23/07/1997,23/07/1997
815.80,28/07/1994,28/07/1994
815.62,29/07/1994,29/07/1994
815.62,30/07/1994,01/08/1994
815.89,02/08/1994,02/08/1994
814.53,03/08/1994,03/08/1994
812.69,04/08/1994,04/08/1994
812.57,05/08/1994,05/08/1994
811.91,06/08/1994,08/08/1994
812.39,09/08/1994,09/08/1994
813.64,10/08/1994,10/08/1994
815.40,11/08/1994,11/08/1994
815.84,12/08/1994,12/08/1994
814.94,13/08/1994,16/08/1994
814.40,17/08/1994,17/08/1994
813.93,18/08/1994,18/08/1994
813.88,19/08/1994,19/08/1994
813.76,20/08/1994,22/08/1994
815.75,27/07/1994,27/07/1994
815.20,23/08/1994,23/08/1994
816.58,24/08/1994,24/08/1994
816.77,25/08/1994,25/08/1994
817.40,26/08/1994,26/08/1994
816.29,27/08/1994,29/08/1994
816.18,30/08/1994,30/08/1994
816.30,31/08/1994,31/08/1994
816.08,01/09/1994,01/09/1994
817.64,02/09/1994,02/09/1994
818.81,03/09/1994,05/09/1994
818.06,29/10/1993,29/10/1993
817.03,30/10/1993,02/11/1993
816.70,03/11/1993,03/11/1993
817.01,04/11/1993,04/11/1993
816.79,05/11/1993,05/11/1993
815.70,06/11/1993,08/11/1993
814.26,09/11/1993,09/11/1993
696.12,07/07/1992,07/07/1992
695.65,08/07/1992,08/07/1992
699.01,09/07/1992,09/07/1992
703.74,10/07/1992,10/07/1992
708.72,11/07/1992,13/07/1992
720.47,14/07/1992,14/07/1992
719.15,15/07/1992,15/07/1992
717.45,16/07/1992,16/07/1992
717.70,17/07/1992,17/07/1992
715.11,18/07/1992,21/07/1992
710.91,22/07/1992,22/07/1992
707.96,23/07/1992,23/07/1992
699.73,24/07/1992,24/07/1992
699.68,25/07/1992,27/07/1992
701.66,28/07/1992,28/07/1992
701.89,29/07/1992,29/07/1992
702.02,30/07/1992,30/07/1992
693.40,04/07/1992,06/07/1992
705.14,31/07/1992,31/07/1992
702.52,01/08/1992,03/08/1992
701.82,04/08/1992,04/08/1992
698.84,05/08/1992,05/08/1992
695.32,06/08/1992,06/08/1992
694.25,07/08/1992,10/08/1992
692.72,11/08/1992,11/08/1992
692.25,12/08/1992,12/08/1992
694.28,13/08/1992,13/08/1992
692.51,14/08/1992,14/08/1992
1106.70,24/07/1997,24/07/1997
1106.64,25/07/1997,25/07/1997
1106.06,26/07/1997,28/07/1997
1108.16,29/07/1997,29/07/1997
1106.67,30/07/1997,30/07/1997
1109.65,31/07/1997,31/07/1997
1112.53,01/08/1997,01/08/1997
1113.43,02/08/1997,04/08/1997
1112.83,05/08/1997,05/08/1997
1115.43,06/08/1997,06/08/1997
1115.20,07/08/1997,08/08/1997
1118.96,09/08/1997,11/08/1997
1119.38,12/08/1997,12/08/1997
1120.33,13/08/1997,13/08/1997
1125.62,14/08/1997,14/08/1997
1128.25,15/08/1997,15/08/1997
1129.05,16/08/1997,19/08/1997
1137.54,20/08/1997,20/08/1997
1140.54,21/08/1997,21/08/1997
1149.19,22/08/1997,22/08/1997
1154.23,23/08/1997,25/08/1997
1145.52,26/08/1997,26/08/1997
811.07,11/11/1993,11/11/1993
809.87,12/11/1993,12/11/1993
3299.01,14/05/2019,14/05/2019
3329.23,02/08/2019,02/08/2019
3402.32,21/09/2019,23/09/2019
3278.83,15/01/2020,15/01/2020
3650.50,11/11/2020,12/11/2020
3416.21,17/12/2020,17/12/2020
3750.66,25/05/2021,25/05/2021
3780.85,03/09/2021,03/09/2021
3790.04,04/09/2021,07/09/2021
3835.27,14/09/2021,14/09/2021
3830.83,15/09/2021,15/09/2021
3825.36,16/09/2021,16/09/2021
3828.18,18/09/2021,20/09/2021
3844.88,25/09/2021,27/09/2021
3837.91,28/09/2021,28/09/2021
3834.68,30/09/2021,30/09/2021
3781.35,02/10/2021,04/10/2021
3796.30,06/10/2021,06/10/2021
3772.44,08/10/2021,08/10/2021
3765.80,09/10/2021,12/10/2021
3725.75,14/10/2021,14/10/2021
3783.30,22/10/2021,22/10/2021
3761.21,28/10/2021,28/10/2021
3784.44,30/10/2021,02/11/2021
3837.84,04/11/2021,04/11/2021
3881.76,06/11/2021,08/11/2021
3874.41,09/11/2021,09/11/2021
3876.86,10/11/2021,10/11/2021
3898.84,17/11/2021,17/11/2021
3907.95,18/11/2021,18/11/2021
3943.43,19/11/2021,19/11/2021
3969.49,25/11/2021,26/11/2021
4008.13,27/11/2021,29/11/2021
4010.98,30/11/2021,30/11/2021
4004.54,01/12/2021,01/12/2021
3945.18,03/12/2021,03/12/2021
3944.00,07/12/2021,07/12/2021
3886.87,14/12/2021,14/12/2021
3990.27,16/12/2021,16/12/2021
3989.41,28/12/2021,28/12/2021
4004.00,29/12/2021,29/12/2021
4023.68,30/12/2021,30/12/2021
4084.11,05/01/2022,05/01/2022
4043.46,08/01/2022,11/01/2022
4011.65,12/01/2022,12/01/2022
3950.40,14/01/2022,14/01/2022
4003.95,20/01/2022,20/01/2022
3977.51,25/01/2022,25/01/2022
3987.32,26/01/2022,26/01/2022
3944.04,28/01/2022,28/01/2022
3942.73,01/02/2022,01/02/2022
3923.61,02/02/2022,02/02/2022
3928.05,03/02/2022,03/02/2022
3963.84,08/02/2022,08/02/2022
3939.31,10/02/2022,10/02/2022
3963.72,17/02/2022,17/02/2022
3953.26,18/02/2022,18/02/2022
3913.79,24/02/2022,24/02/2022
3940.20,25/02/2022,25/02/2022
3901.62,02/03/2022,02/03/2022
3771.77,04/03/2022,04/03/2022
3806.11,05/03/2022,07/03/2022
3787.18,09/03/2022,09/03/2022
3746.43,10/03/2022,10/03/2022
3786.00,11/03/2022,11/03/2022
3800.85,15/03/2022,15/03/2022
3836.56,16/03/2022,16/03/2022
3765.67,23/03/2022,23/03/2022
3785.70,29/03/2022,29/03/2022
3756.03,01/04/2022,01/04/2022
3746.51,07/04/2022,07/04/2022
3777.41,09/04/2022,11/04/2022
2341.72,18/05/2005,18/05/2005
2339.44,19/05/2005,19/05/2005
2336.99,20/05/2005,20/05/2005
2337.00,21/05/2005,23/05/2005
2329.05,24/05/2005,24/05/2005
2328.69,25/05/2005,25/05/2005
2329.35,26/05/2005,26/05/2005
2330.79,27/05/2005,27/05/2005
2332.79,28/05/2005,31/05/2005
2338.89,01/06/2005,01/06/2005
2339.67,02/06/2005,02/06/2005
2336.65,03/06/2005,03/06/2005
2330.93,04/06/2005,07/06/2005
2331.38,08/06/2005,08/06/2005
2347.83,09/06/2005,09/06/2005
2361.41,10/06/2005,10/06/2005
2349.17,11/06/2005,13/06/2005
2345.60,14/06/2005,14/06/2005
2334.27,15/06/2005,15/06/2005
2330.33,16/06/2005,16/06/2005
2326.43,17/06/2005,17/06/2005
2322.05,18/06/2005,20/06/2005
2319.11,21/06/2005,21/06/2005
2314.89,22/06/2005,22/06/2005
2316.45,23/06/2005,23/06/2005
2319.27,24/06/2005,24/06/2005
2320.29,25/06/2005,27/06/2005
2323.19,28/06/2005,28/06/2005
2327.90,29/06/2005,29/06/2005
2331.81,30/06/2005,30/06/2005
2324.22,01/07/2005,01/07/2005
2324.69,02/07/2005,05/07/2005
2338.17,06/07/2005,06/07/2005
2338.86,07/07/2005,07/07/2005
2332.70,08/07/2005,08/07/2005
2330.72,09/07/2005,11/07/2005
2324.37,12/07/2005,12/07/2005
2323.08,13/07/2005,13/07/2005
2326.09,14/07/2005,14/07/2005
2329.40,15/07/2005,15/07/2005
2332.07,16/07/2005,18/07/2005
2320.26,19/07/2005,19/07/2005
2312.73,20/07/2005,21/07/2005
2312.82,22/07/2005,22/07/2005
2316.42,23/07/2005,25/07/2005
2315.39,26/07/2005,26/07/2005
2316.93,27/07/2005,27/07/2005
2313.84,28/07/2005,28/07/2005
2311.43,29/07/2005,29/07/2005
2308.49,30/07/2005,01/08/2005
2308.42,02/08/2005,02/08/2005
2305.95,03/08/2005,03/08/2005
2306.51,04/08/2005,04/08/2005
2307.40,05/08/2005,05/08/2005
2307.69,06/08/2005,08/08/2005
2308.30,09/08/2005,09/08/2005
2305.63,10/08/2005,10/08/2005
2299.75,11/08/2005,11/08/2005
2313.52,12/08/2005,12/08/2005
2308.38,13/08/2005,16/08/2005
2301.74,17/08/2005,17/08/2005
2303.20,18/08/2005,18/08/2005
2307.45,19/08/2005,19/08/2005
2309.83,20/08/2005,22/08/2005
2304.26,23/08/2005,23/08/2005
2302.59,24/08/2005,24/08/2005
2305.05,25/08/2005,25/08/2005
2305.87,26/08/2005,26/08/2005
2306.71,27/08/2005,29/08/2005
2305.15,30/08/2005,30/08/2005
2304.30,31/08/2005,31/08/2005
2302.78,01/09/2005,01/09/2005
2298.85,02/09/2005,02/09/2005
2295.31,03/09/2005,06/09/2005
2286.61,07/09/2005,07/09/2005
2279.95,08/09/2005,08/09/2005
2289.30,09/09/2005,09/09/2005
2305.09,10/09/2005,12/09/2005
2306.71,13/09/2005,13/09/2005
2295.02,14/09/2005,14/09/2005
2290.02,15/09/2005,15/09/2005
2299.82,16/09/2005,16/09/2005
3106.16,07/03/2019,07/03/2019
3120.04,08/03/2019,08/03/2019
3162.40,09/03/2019,11/03/2019
3168.35,12/03/2019,12/03/2019
3153.20,13/03/2019,13/03/2019
3144.42,15/03/2019,15/03/2019
3123.28,16/03/2019,18/03/2019
3145.53,14/03/2019,14/03/2019
3113.91,12/04/2019,12/04/2019
3440.96,11/02/2020,11/02/2020
3947.79,15/05/2020,15/05/2020
3718.82,30/05/2020,01/06/2020
3766.73,20/08/2020,20/08/2020
3482.51,24/12/2020,24/12/2020
3450.74,06/01/2021,06/01/2021
3624.39,27/02/2021,01/03/2021
3647.99,05/03/2021,05/03/2021
3829.46,10/07/2021,12/07/2021
3861.33,19/08/2021,19/08/2021
3806.87,31/08/2021,31/08/2021
3788.03,07/10/2021,07/10/2021
3766.94,20/10/2021,20/10/2021
3970.08,13/01/2022,13/01/2022
3962.68,05/02/2022,07/02/2022
3774.79,02/04/2022,04/04/2022
2984.00,29/12/2017,02/01/2018
2940.94,03/01/2018,03/01/2018
2908.68,04/01/2018,04/01/2018
2885.76,05/01/2018,05/01/2018
2898.32,06/01/2018,09/01/2018
2914.37,10/01/2018,10/01/2018
2895.69,11/01/2018,11/01/2018
2865.79,12/01/2018,12/01/2018
2855.86,13/01/2018,16/01/2018
2868.03,17/01/2018,17/01/2018
2851.13,18/01/2018,18/01/2018
2836.85,19/01/2018,19/01/2018
2851.75,20/01/2018,22/01/2018
2854.20,23/01/2018,23/01/2018
2858.50,24/01/2018,24/01/2018
2820.53,25/01/2018,25/01/2018
2783.13,26/01/2018,26/01/2018
2805.12,27/01/2018,29/01/2018
2842.67,30/01/2018,30/01/2018
2844.14,31/01/2018,31/01/2018
2133.03,14/11/2014,14/11/2014
2160.47,15/11/2014,18/11/2014
2158.58,19/11/2014,19/11/2014
2156.73,20/11/2014,20/11/2014
2156.93,21/11/2014,21/11/2014
2142.02,22/11/2014,24/11/2014
2158.12,25/11/2014,25/11/2014
2162.15,26/11/2014,26/11/2014
2165.15,27/11/2014,28/11/2014
2206.19,29/11/2014,01/12/2014
2252.36,02/12/2014,02/12/2014
2293.47,03/12/2014,03/12/2014
2286.03,04/12/2014,04/12/2014
2284.24,05/12/2014,05/12/2014
2304.12,06/12/2014,09/12/2014
2350.01,10/12/2014,10/12/2014
2381.96,11/12/2014,11/12/2014
2423.56,12/12/2014,12/12/2014
2405.31,13/12/2014,15/12/2014
2414.39,16/12/2014,16/12/2014
2446.35,17/12/2014,17/12/2014
2412.79,18/12/2014,18/12/2014
2334.98,19/12/2014,19/12/2014
2297.14,20/12/2014,22/12/2014
2316.93,23/12/2014,23/12/2014
2342.57,24/12/2014,24/12/2014
2346.90,25/12/2014,26/12/2014
2358.46,27/12/2014,29/12/2014
2378.56,30/12/2014,30/12/2014
2392.46,31/12/2014,02/01/2015
2383.37,03/01/2015,05/01/2015
2412.82,06/01/2015,06/01/2015
2452.11,07/01/2015,07/01/2015
2434.31,08/01/2015,08/01/2015
2405.03,09/01/2015,09/01/2015
2406.71,10/01/2015,13/01/2015
2442.03,14/01/2015,14/01/2015
2438.79,15/01/2015,15/01/2015
2398.91,16/01/2015,16/01/2015
2383.91,17/01/2015,20/01/2015
2373.44,21/01/2015,21/01/2015
2361.54,22/01/2015,22/01/2015
2370.75,23/01/2015,23/01/2015
2386.50,24/01/2015,26/01/2015
2386.28,27/01/2015,27/01/2015
2381.11,28/01/2015,28/01/2015
2362.42,29/01/2015,29/01/2015
2397.35,30/01/2015,30/01/2015
2441.10,31/01/2015,02/02/2015
2407.29,03/02/2015,03/02/2015
2374.72,04/02/2015,04/02/2015
2381.91,05/02/2015,05/02/2015
2384.53,06/02/2015,06/02/2015
2384.76,07/02/2015,09/02/2015
2371.31,10/02/2015,10/02/2015
2380.79,11/02/2015,11/02/2015
2416.61,12/02/2015,12/02/2015
2401.03,13/02/2015,13/02/2015
2376.23,14/02/2015,17/02/2015
2416.37,18/02/2015,18/02/2015
2429.71,19/02/2015,19/02/2015
2445.16,20/02/2015,20/02/2015
2455.54,21/02/2015,23/02/2015
2489.81,24/02/2015,24/02/2015
2500.59,25/02/2015,25/02/2015
2489.41,26/02/2015,26/02/2015
2484.58,27/02/2015,27/02/2015
2496.99,28/02/2015,02/03/2015
2522.03,03/03/2015,03/03/2015
2555.08,04/03/2015,04/03/2015
2565.90,05/03/2015,05/03/2015
2543.47,06/03/2015,06/03/2015
2565.61,07/03/2015,09/03/2015
2592.86,10/03/2015,10/03/2015
2618.79,11/03/2015,11/03/2015
2633.65,12/03/2015,12/03/2015
2610.08,13/03/2015,13/03/2015
2661.52,14/03/2015,16/03/2015
2675.08,17/03/2015,17/03/2015
2677.97,18/03/2015,18/03/2015
2651.49,19/03/2015,19/03/2015
2613.38,20/03/2015,20/03/2015
2587.71,21/03/2015,24/03/2015
2526.79,25/03/2015,25/03/2015
2535.55,26/03/2015,26/03/2015
2551.30,27/03/2015,27/03/2015
2556.85,28/03/2015,30/03/2015
2576.05,31/03/2015,31/03/2015
2598.36,01/04/2015,01/04/2015
2576.41,02/04/2015,06/04/2015
2522.71,07/04/2015,07/04/2015
2518.05,08/04/2015,08/04/2015
2490.90,09/04/2015,09/04/2015
2494.77,10/04/2015,10/04/2015
2516.08,11/04/2015,13/04/2015
2537.33,14/04/2015,14/04/2015
2550.83,15/04/2015,15/04/2015
2534.63,16/04/2015,16/04/2015
2493.93,17/04/2015,17/04/2015
2495.01,18/04/2015,20/04/2015
2487.07,21/04/2015,21/04/2015
2469.03,22/04/2015,22/04/2015
2488.50,23/04/2015,23/04/2015
2471.21,24/04/2015,24/04/2015
2461.17,25/04/2015,27/04/2015
2419.81,28/04/2015,28/04/2015
2393.42,29/04/2015,29/04/2015
2388.06,30/04/2015,30/04/2015
2393.58,01/05/2015,04/05/2015
2408.17,05/05/2015,05/05/2015
2386.72,06/05/2015,06/05/2015
2362.41,07/05/2015,07/05/2015
2369.23,08/05/2015,08/05/2015
2360.58,09/05/2015,11/05/2015
2381.53,12/05/2015,12/05/2015
2386.77,13/05/2015,13/05/2015
2377.87,14/05/2015,14/05/2015
2389.49,15/05/2015,15/05/2015
2417.01,16/05/2015,19/05/2015
2475.45,20/05/2015,20/05/2015
2503.37,21/05/2015,21/05/2015
2489.39,22/05/2015,22/05/2015
2500.22,23/05/2015,26/05/2015
2542.53,27/05/2015,27/05/2015
2548.13,28/05/2015,28/05/2015
2549.97,29/05/2015,29/05/2015
2533.79,30/05/2015,01/06/2015
2549.29,02/06/2015,02/06/2015
2554.44,03/06/2015,03/06/2015
2571.92,04/06/2015,04/06/2015
2588.56,05/06/2015,05/06/2015
2623.66,06/06/2015,09/06/2015
2569.17,10/06/2015,10/06/2015
2523.00,11/06/2015,11/06/2015
2538.55,12/06/2015,12/06/2015
2535.91,13/06/2015,16/06/2015
2531.72,17/06/2015,17/06/2015
2550.43,18/06/2015,18/06/2015
2528.85,19/06/2015,19/06/2015
2548.20,20/06/2015,22/06/2015
2537.68,23/06/2015,23/06/2015
2550.74,24/06/2015,24/06/2015
2566.66,25/06/2015,25/06/2015
2556.21,26/06/2015,26/06/2015
2585.11,27/06/2015,30/06/2015
2598.68,01/07/2015,01/07/2015
2626.80,02/07/2015,02/07/2015
2623.91,03/07/2015,03/07/2015
2642.97,04/07/2015,06/07/2015
2665.41,07/07/2015,07/07/2015
2690.15,08/07/2015,08/07/2015
2690.79,09/07/2015,09/07/2015
2670.79,10/07/2015,10/07/2015
2667.37,11/07/2015,13/07/2015
2693.54,14/07/2015,14/07/2015
2688.20,15/07/2015,15/07/2015
2713.04,16/07/2015,16/07/2015
2727.23,17/07/2015,17/07/2015
2751.88,18/07/2015,21/07/2015
2765.10,22/07/2015,22/07/2015
2790.26,23/07/2015,23/07/2015
2807.36,24/07/2015,24/07/2015
2857.46,25/07/2015,27/07/2015
2854.13,28/07/2015,28/07/2015
2855.44,29/07/2015,29/07/2015
809.95,13/11/1993,16/11/1993
815.18,17/11/1993,17/11/1993
816.32,18/11/1993,18/11/1993
816.62,19/11/1993,19/11/1993
817.06,20/11/1993,22/11/1993
814.48,23/11/1993,23/11/1993
812.12,24/11/1993,24/11/1993
811.67,25/11/1993,25/11/1993
812.04,26/11/1993,26/11/1993
812.11,27/11/1993,29/11/1993
811.73,30/11/1993,30/11/1993
812.21,01/12/1993,01/12/1993
813.95,10/11/1993,10/11/1993
811.78,02/12/1993,02/12/1993
809.63,03/12/1993,03/12/1993
806.49,04/12/1993,06/12/1993
803.10,07/12/1993,07/12/1993
800.60,08/12/1993,09/12/1993
798.51,10/12/1993,10/12/1993
797.53,11/12/1993,13/12/1993
798.20,14/12/1993,14/12/1993
818.21,07/09/1994,07/09/1994
819.24,08/09/1994,08/09/1994
820.02,09/09/1994,09/09/1994
820.26,10/09/1994,12/09/1994
821.62,13/09/1994,13/09/1994
824.34,14/09/1994,14/09/1994
827.86,15/09/1994,15/09/1994
833.10,16/09/1994,16/09/1994
837.21,17/09/1994,19/09/1994
838.63,20/09/1994,20/09/1994
841.82,21/09/1994,21/09/1994
842.70,22/09/1994,22/09/1994
841.53,23/09/1994,23/09/1994
839.46,24/09/1994,26/09/1994
840.23,27/09/1994,27/09/1994
817.80,06/09/1994,06/09/1994
841.51,28/09/1994,28/09/1994
841.32,29/09/1994,29/09/1994
842.00,30/09/1994,30/09/1994
843.00,01/10/1994,03/10/1994
843.65,04/10/1994,04/10/1994
844.40,05/10/1994,05/10/1994
842.54,06/10/1994,06/10/1994
840.06,07/10/1994,07/10/1994
836.80,08/10/1994,10/10/1994
798.12,15/12/1993,15/12/1993
799.43,16/12/1993,16/12/1993
804.89,17/12/1993,17/12/1993
806.50,18/12/1993,20/12/1993
803.81,21/12/1993,21/12/1993
802.46,22/12/1993,22/12/1993
801.40,23/12/1993,23/12/1993
801.69,24/12/1993,24/12/1993
801.69,25/12/1993,27/12/1993
809.13,28/12/1993,28/12/1993
802.33,29/12/1993,29/12/1993
802.71,30/12/1993,30/12/1993
804.33,31/12/1993,31/12/1993
804.33,01/01/1994,03/01/1994
805.91,04/01/1994,04/01/1994
810.01,05/01/1994,05/01/1994
